Date,Open,High,Low,Close,Adj Close,Volume
2024-02-01,4.750000,5.830000,4.735000,5.640000,5.640000,5625800
2024-02-02,5.460000,6.105000,5.281000,6.010000,6.010000,2160000
2024-02-05,5.970000,5.970000,5.650000,5.700000,5.700000,1714100
2024-02-06,5.690000,6.035000,5.685000,6.000000,6.000000,1117300
2024-02-07,6.030000,6.080000,5.890000,6.010000,6.010000,831500
2024-02-08,6.060000,6.500000,6.050000,6.470000,6.470000,1010500
2024-02-09,6.500000,6.640000,6.455000,6.640000,6.640000,899400
2024-02-12,6.620000,7.000000,6.600000,6.990000,6.990000,1429600
2024-02-13,6.640000,6.795000,6.520000,6.610000,6.610000,1231300
2024-02-14,6.750000,6.940000,6.635000,6.910000,6.910000,972500
2024-02-15,6.990000,7.030000,6.800000,6.940000,6.940000,830100
2024-02-16,6.860000,6.970000,6.190000,6.620000,6.620000,1067400
2024-02-20,6.480000,6.690000,6.425000,6.680000,6.680000,625500
2024-02-21,6.590000,6.590000,6.220000,6.310000,6.310000,1081200
2024-02-22,6.330000,6.365000,6.180000,6.260000,6.260000,695500
2024-02-23,6.240000,6.335000,6.150000,6.230000,6.230000,880600
2024-02-26,6.210000,6.420000,6.160000,6.390000,6.390000,727500
2024-02-27,6.420000,6.750000,6.420000,6.700000,6.700000,1245100
2024-02-28,8.060000,9.200000,7.810000,8.710000,8.710000,11525200
2024-02-29,8.830000,9.000000,8.292000,8.350000,8.350000,2673300
2024-03-01,8.310000,8.310000,7.700000,7.785000,7.785000,1993700
2024-03-04,7.740000,7.960000,7.600000,7.760000,7.760000,1651600
2024-03-05,7.630000,7.750000,7.380000,7.380000,7.380000,1434400
2024-03-06,7.420000,7.580000,7.150000,7.240000,7.240000,1162900
2024-03-07,7.240000,7.325000,7.150000,7.215000,7.215000,1079700
2024-03-08,7.300000,7.300000,7.140000,7.210000,7.210000,1413700
2024-03-11,7.383000,7.457000,7.070000,7.090000,7.090000,1129100
2024-03-12,7.020000,7.045000,6.520000,6.880000,6.880000,960900
2024-03-13,6.820000,6.885000,6.590000,6.610000,6.610000,864300
2024-03-14,6.580000,6.580000,6.230000,6.380000,6.380000,1112300
2024-03-15,6.280000,6.425000,6.230000,6.360000,6.360000,1252500
2024-03-18,6.350000,6.350000,6.170000,6.270000,6.270000,841300
2024-03-19,6.290000,6.558000,6.255000,6.320000,6.320000,1282700
2024-03-20,6.200000,6.315000,6.010000,6.250000,6.250000,1214900
2024-03-21,6.260000,6.330000,6.070000,6.080000,6.080000,850300
2024-03-22,6.120000,6.125000,5.930000,5.930000,5.930000,601700
2024-03-25,5.960000,6.080000,5.930000,6.040000,6.040000,850800
2024-03-26,6.020000,6.139000,5.950000,5.950000,5.950000,693200
2024-03-27,5.980000,6.085000,5.905000,6.020000,6.020000,874500
2024-03-28,6.000000,6.340000,5.975000,6.170000,6.170000,1372500
2024-04-01,6.210000,6.300000,6.025000,6.200000,6.200000,890800
2024-04-02,6.060000,6.060000,5.835000,5.990000,5.990000,1119000
