Date,Open,High,Low,Close,Adj Close,Volume
2024-03-15,14300.000000,15300.000000,10910.000000,11450.000000,11450.000000,96509
2024-03-18,12400.000000,15530.000000,11800.000000,13800.000000,13800.000000,76798
2024-03-19,14170.000000,14400.000000,13100.000000,13450.000000,13450.000000,20992
2024-03-20,13510.000000,14160.000000,13510.000000,13730.000000,13730.000000,11917
2024-03-21,14160.000000,14230.000000,13800.000000,14140.000000,14140.000000,9279
2024-03-22,14200.000000,14540.000000,13810.000000,13880.000000,13880.000000,9323
2024-03-25,13900.000000,14050.000000,13520.000000,13660.000000,13660.000000,6529
2024-03-26,13800.000000,14450.000000,13730.000000,14100.000000,14100.000000,9784
2024-03-27,14380.000000,15250.000000,14180.000000,15070.000000,15070.000000,10916
2024-03-28,15300.000000,15860.000000,15150.000000,15300.000000,15300.000000,9364
2024-04-02,15480.000000,15740.000000,15180.000000,15180.000000,15180.000000,4336
2024-04-03,15250.000000,15470.000000,14950.000000,14970.000000,14970.000000,5459
2024-04-04,14900.000000,15260.000000,14620.000000,15200.000000,15200.000000,5459
2024-04-05,15030.000000,15040.000000,14770.000000,14960.000000,14960.000000,4771
2024-04-08,15030.000000,15400.000000,14980.000000,15340.000000,15340.000000,3800
2024-04-09,15400.000000,15530.000000,15070.000000,15110.000000,15110.000000,3191
