Date,Open,High,Low,Close,Adj Close,Volume
2024-02-13,3.300000,3.345000,1.620000,1.920000,1.920000,949000
2024-02-14,1.980000,2.700000,1.950000,2.190000,2.190000,892200
2024-02-15,2.130000,2.200000,1.959000,2.000000,2.000000,187100
2024-02-16,2.100000,2.400000,2.020000,2.270000,2.270000,366800
2024-02-20,2.320000,2.320000,1.955000,2.020000,2.020000,603700
2024-02-21,2.040000,2.180000,2.020000,2.120000,2.120000,132300
2024-02-22,2.100000,2.100000,1.950000,2.000000,2.000000,169100
2024-02-23,1.970000,2.020000,1.930000,2.020000,2.020000,220300
2024-02-26,2.050000,2.300000,1.984000,2.200000,2.200000,184700
2024-02-27,2.320000,2.320000,2.090000,2.170000,2.170000,84700
2024-02-28,2.160000,2.255000,2.101000,2.210000,2.210000,101300
2024-02-29,2.250000,2.735000,2.180000,2.580000,2.580000,323300
2024-03-01,2.500000,2.500000,2.230000,2.310000,2.310000,138400
2024-03-04,2.200000,2.850000,2.200000,2.610000,2.610000,596000
2024-03-05,2.500000,2.820000,2.410000,2.420000,2.420000,324600
2024-03-06,2.420000,2.690000,2.420000,2.660000,2.660000,229300
2024-03-07,2.690000,3.170000,2.620000,2.990000,2.990000,415100
2024-03-08,2.900000,3.380000,2.855000,3.130000,3.130000,334100
2024-03-11,3.250000,3.280000,2.960000,2.980000,2.980000,359500
2024-03-12,3.010000,3.210000,2.930000,3.110000,3.110000,264600
2024-03-13,3.140000,3.150000,2.800000,3.010000,3.010000,1040900
2024-03-14,2.950000,3.170000,2.830000,3.130000,3.130000,883000
2024-03-15,3.240000,3.250000,2.970000,3.170000,3.170000,1490100
2024-03-18,3.130000,3.130000,2.870000,3.000000,3.000000,1095500
2024-03-19,2.970000,3.200000,2.800000,3.200000,3.200000,1034300
2024-03-20,3.170000,3.170000,2.790000,2.910000,2.910000,206900
2024-03-21,2.850000,2.940000,2.770000,2.940000,2.940000,229200
2024-03-22,2.860000,3.240000,2.850000,3.230000,3.230000,118200
2024-03-25,3.080000,3.130000,2.800000,2.910000,2.910000,311000
2024-03-26,3.010000,3.100000,2.840000,2.920000,2.920000,107800
2024-03-27,2.950000,3.000000,2.760000,2.790000,2.790000,243100
2024-03-28,2.760000,2.790000,2.620000,2.650000,2.650000,131100
2024-04-01,2.660000,3.050000,2.610000,3.000000,3.000000,151100
2024-04-02,3.000000,3.000000,2.750000,2.820000,2.820000,110400
