Date,Open,High,Low,Close,Adj Close,Volume
2023-06-06,1.350000,1.555000,1.000000,1.320000,1.320000,59496991
2023-06-07,1.060000,1.690000,1.020000,1.450000,1.450000,34606349
2023-06-08,1.400000,1.450000,1.270000,1.340000,1.340000,12199437
2023-06-09,1.330000,1.340000,1.130100,1.180000,1.180000,13739275
2023-06-12,1.080000,1.100000,0.860000,0.964000,0.964000,29285427
2023-06-13,0.939500,1.330000,0.937100,1.300000,1.300000,23857498
2023-06-14,1.270000,1.270000,1.080000,1.100000,1.100000,11732917
2023-06-15,1.120000,1.280000,1.110000,1.230000,1.230000,9748535
2023-06-16,1.230000,1.430000,1.190000,1.280000,1.280000,13517765
2023-06-20,1.220000,1.480000,1.210000,1.360000,1.360000,10009543
2023-06-21,1.400000,1.490000,1.280000,1.300000,1.300000,6966544
2023-06-22,1.320000,1.320000,1.200000,1.210000,1.210000,4344690
2023-06-23,1.210000,1.235000,1.130000,1.190000,1.190000,22618706
2023-06-26,1.220000,1.300000,1.140000,1.250000,1.250000,5630493
2023-06-27,1.270000,1.320000,1.200000,1.250000,1.250000,3905604
2023-06-28,1.240000,1.370000,1.240000,1.315000,1.315000,3914895
2023-06-29,1.300000,1.340000,1.170000,1.210000,1.210000,3703409
2023-06-30,1.240000,1.240000,1.170000,1.210000,1.210000,2363884
2023-07-03,1.220000,1.230000,1.160000,1.190000,1.190000,2472468
2023-07-05,1.180000,1.340000,1.160000,1.260000,1.260000,6155269
2023-07-06,1.280000,1.350000,1.240000,1.350000,1.350000,3131680
2023-07-07,1.300000,1.390000,1.290000,1.305000,1.305000,3257539
2023-07-10,1.290000,1.330000,1.230000,1.250000,1.250000,2306137
2023-07-11,1.270000,1.340000,1.270000,1.335000,1.335000,3026274
2023-07-12,1.330000,1.420000,1.330000,1.390000,1.390000,3922026
2023-07-13,1.400000,1.600000,1.380000,1.415000,1.415000,8717937
2023-07-14,1.460000,1.520000,1.330000,1.390000,1.390000,4426338
2023-07-17,1.400000,1.730000,1.360000,1.670000,1.670000,7136628
2023-07-18,1.680000,1.700000,1.400000,1.490000,1.490000,8081230
2023-07-19,1.510000,1.560000,1.390000,1.430000,1.430000,3877178
2023-07-20,1.450000,1.450000,1.370000,1.380000,1.380000,2834732
2023-07-21,1.380000,1.430000,1.340000,1.380000,1.380000,1868407
2023-07-24,1.390000,1.430000,1.330000,1.390000,1.390000,2195263
2023-07-25,1.390000,1.405000,1.280000,1.290000,1.290000,4106037
2023-07-26,1.290000,1.310000,1.240000,1.290000,1.290000,2096794
2023-07-27,1.310000,1.320000,1.250000,1.260000,1.260000,1554822
2023-07-28,1.270000,1.370000,1.250000,1.330000,1.330000,1581791
2023-07-31,1.330000,1.437600,1.300000,1.410000,1.410000,3966673
2023-08-01,1.430000,1.505000,1.371500,1.460000,1.460000,3494753
2023-08-02,1.480000,1.505000,1.411700,1.460000,1.460000,2060633
2023-08-03,1.460000,1.510000,1.430000,1.440000,1.440000,1956434
2023-08-04,1.450000,1.515000,1.400000,1.440000,1.440000,2736133
2023-08-07,1.450000,1.530000,1.360000,1.510000,1.510000,3547999
2023-08-08,1.500000,1.640000,1.450000,1.610000,1.610000,3319730
2023-08-09,1.650000,1.680000,1.410000,1.430000,1.430000,5388977
2023-08-10,1.330000,1.330000,1.140000,1.175000,1.175000,7050312
2023-08-11,1.160000,1.250000,1.100000,1.230000,1.230000,4946375
2023-08-14,1.230000,1.260000,1.160000,1.240000,1.240000,2336398
2023-08-15,1.190000,1.250000,1.160000,1.160000,1.160000,2573998
