Date,Open,High,Low,Close,Adj Close,Volume
2022-12-07,64.790001,65.980003,64.019997,65.000000,62.652607,10394800
2022-12-08,65.199997,66.669998,65.029999,65.699997,63.327332,3756800
2022-12-09,65.610001,67.059998,65.290001,66.669998,64.262291,2779500
2022-12-12,66.690002,66.889999,64.989998,65.730003,63.356247,3023800
2022-12-13,67.820000,68.070000,65.169998,66.260002,63.867111,4433500
2022-12-14,66.209999,68.580002,65.989998,67.349998,64.917740,3234400
2022-12-15,66.639999,67.589996,66.279999,67.120003,64.696060,2512500
2022-12-16,66.050003,66.559998,63.580002,64.320000,61.997169,8289900
2022-12-19,64.190002,64.419998,63.090000,63.700001,61.399559,2413200
2022-12-20,63.009998,63.930000,62.619999,63.549999,61.254974,2380600
2022-12-21,64.070000,65.089996,63.630001,63.970001,61.659805,1777300
2022-12-22,63.169998,64.570000,63.000000,64.529999,62.199581,1737900
2022-12-23,64.389999,65.080002,63.790001,65.070000,62.720081,1148100
2022-12-27,65.059998,66.349998,64.910004,65.940002,63.558662,1758000
2022-12-28,66.070000,66.620003,64.629997,64.839996,62.498383,1648300
2022-12-29,65.470001,66.239998,64.750000,65.830002,63.452637,1422000
2022-12-30,65.639999,66.010002,64.769997,65.550003,63.182755,1189700
2023-01-03,66.510002,67.180000,65.480003,66.949997,64.532188,3086400
2023-01-04,67.690002,69.410004,67.489998,68.839996,66.353920,2263700
2023-01-05,68.110001,68.620003,66.690002,67.389999,64.956291,1761800
2023-01-06,67.730003,70.000000,67.400002,69.779999,67.259987,1685000
2023-01-09,70.089996,70.309998,69.150002,69.269997,66.768402,2207200
2023-01-10,68.720001,69.010002,67.959999,68.989998,66.498505,2091100
2023-01-11,69.599998,71.989998,69.529999,71.830002,69.235954,2144700
2023-01-12,72.000000,72.730003,71.580002,72.099998,69.496193,2403200
2023-01-13,71.550003,71.949997,70.830002,71.150002,68.580505,1376800
2023-01-17,71.290001,72.089996,71.050003,71.709999,69.120285,1583000
2023-01-18,72.209999,72.489998,71.360001,71.650002,69.062462,2985100
2023-01-19,71.290001,72.279999,71.290001,71.650002,69.062462,2002200
2023-01-20,71.830002,72.910004,71.290001,72.830002,70.199829,1843700
2023-01-23,72.720001,74.519997,72.199997,74.279999,71.597473,2051200
2023-01-24,73.830002,74.919998,73.500000,74.879997,72.175804,1528100
2023-01-25,74.699997,74.839996,73.410004,73.860001,71.192642,1502800
2023-01-26,74.180000,74.410004,73.629997,74.180000,71.501083,1274800
2023-01-27,74.300003,75.570000,73.470001,75.190002,72.474609,2091600
2023-01-30,74.860001,75.279999,74.459999,74.519997,71.828804,2349600
2023-01-31,74.379997,75.099998,73.860001,75.040001,72.330032,2601900
2023-02-01,74.970001,75.419998,73.529999,74.879997,72.175804,2266400
2023-02-02,75.489998,76.720001,74.820000,76.269997,73.515610,1930800
2023-02-03,75.160004,75.879997,74.320000,75.820000,73.081856,1648700
2023-02-06,74.930000,75.360001,73.680000,74.519997,71.828804,1987100
2023-02-07,74.080002,75.639999,73.750000,74.919998,72.214355,2332500
2023-02-08,74.739998,75.440002,74.300003,75.000000,72.291466,1650200
2023-02-09,75.550003,75.550003,73.610001,73.989998,71.317947,2483500
2023-02-10,73.730003,75.589996,73.550003,75.279999,72.561356,2016700
2023-02-13,75.389999,76.279999,75.279999,75.889999,73.149323,1298700
2023-02-14,75.510002,76.389999,75.150002,75.750000,73.014389,1735600
2023-02-15,75.059998,75.830002,74.800003,75.720001,72.985474,1865000
2023-02-16,74.220001,78.540001,73.709999,78.050003,75.231323,2938100
2023-02-17,78.300003,78.500000,77.110001,77.400002,74.604805,2544000
2023-02-21,77.139999,77.510002,75.830002,76.820000,74.045738,2300900
2023-02-22,77.190002,77.889999,75.500000,75.620003,72.889091,2199800
2023-02-23,75.860001,76.440002,75.089996,76.169998,73.419220,1680500
2023-02-24,75.000000,75.660004,73.959999,74.870003,72.166168,1927600
2023-02-27,75.050003,75.610001,73.720001,74.269997,72.175880,1199700
2023-02-28,74.660004,74.830002,73.919998,74.120003,72.030121,4664400
2023-03-01,73.550003,73.720001,71.510002,73.089996,71.029152,2665900
2023-03-02,72.800003,74.449997,72.709999,74.349998,72.253632,1677800
2023-03-03,74.860001,75.839996,74.699997,75.309998,73.186562,1979800
2023-03-06,75.599998,75.980003,74.910004,75.190002,73.069946,2880800
2023-03-07,75.040001,75.040001,73.760002,73.970001,71.884346,4827600
2023-03-08,73.690002,75.449997,73.580002,74.720001,72.613197,1732700
2023-03-09,74.500000,74.940002,72.379997,72.449997,70.407196,4593000
2023-03-10,71.839996,72.320000,67.720001,67.830002,65.917473,4106300
2023-03-13,67.230003,69.650002,66.720001,69.209999,67.258560,2710300
2023-03-14,70.570000,71.599998,70.150002,71.559998,69.542290,2347200
2023-03-15,70.690002,71.330002,69.940002,71.250000,69.241043,2623800
2023-03-16,70.540001,71.349998,69.419998,70.849998,68.852325,2916400
2023-03-17,70.199997,71.160004,68.580002,68.750000,66.811523,4939900
2023-03-20,69.139999,69.900002,68.660004,69.129997,67.180809,3012000
2023-03-21,69.660004,70.230003,69.050003,69.389999,67.433479,2465200
2023-03-22,68.989998,69.169998,66.099998,66.169998,64.304276,2457100
2023-03-23,66.290001,67.389999,65.660004,65.760002,63.905827,1743900
2023-03-24,65.440002,67.559998,65.180000,67.480003,65.577339,1576700
2023-03-27,68.000000,68.370003,67.510002,67.879997,65.966057,1765100
2023-03-28,67.459999,69.129997,67.050003,68.769997,66.830963,2056500
2023-03-29,69.779999,70.720001,69.680000,69.959999,67.987411,1984000
2023-03-30,70.629997,71.190002,70.150002,70.949997,68.949493,1610100
